προς τα πίσω,οργή
προς τα πίσω,ανυπομονησία
προς τα πίσω,αηδία
προς τα πίσω,φόβος
προς τα πίσω,χαρά
προς τα πίσω,θλίψη
προς τα πίσω,έκπληξη
προς τα πίσω,εμπιστοσύνη
άβακας,οργή
άβακας,ανυπομονησία
άβακας,αηδία
άβακας,φόβος
άβακας,χαρά
άβακας,θλίψη
άβακας,έκπληξη
άβακας,εμπιστοσύνη
εγκαταλείπω,οργή
εγκαταλείπω,ανυπομονησία
εγκαταλείπω,αηδία
εγκαταλείπω,φόβος
εγκαταλείπω,χαρά
εγκαταλείπω,θλίψη
εγκαταλείπω,έκπληξη
εγκαταλείπω,εμπιστοσύνη
εγκαταλειμμένος,οργή
εγκαταλειμμένος,ανυπομονησία
εγκαταλειμμένος,αηδία
εγκαταλειμμένος,φόβος
εγκαταλειμμένος,χαρά
εγκαταλειμμένος,θλίψη
εγκαταλειμμένος,έκπληξη
εγκαταλειμμένος,εμπιστοσύνη
εγκατάλειψη,οργή
εγκατάλειψη,ανυπομονησία
εγκατάλειψη,αηδία
εγκατάλειψη,φόβος
εγκατάλειψη,χαρά
εγκατάλειψη,θλίψη
εγκατάλειψη,έκπληξη
εγκατάλειψη,εμπιστοσύνη
ηγούμενος,οργή
ηγούμενος,ανυπομονησία
ηγούμενος,αηδία
ηγούμενος,φόβος
ηγούμενος,χαρά
ηγούμενος,θλίψη
ηγούμενος,έκπληξη
ηγούμενος,εμπιστοσύνη
μείωση,οργή
μείωση,ανυπομονησία
μείωση,αηδία
μείωση,φόβος
μείωση,χαρά
μείωση,θλίψη
μείωση,έκπληξη
μείωση,εμπιστοσύνη
σε αυτό,οργή
σε αυτό,ανυπομονησία
σε αυτό,αηδία
σε αυτό,φόβος
σε αυτό,χαρά
σε αυτό,θλίψη
σε αυτό,έκπληξη
σε αυτό,εμπιστοσύνη
ηγούμενος,οργή
ηγούμενος,ανυπομονησία
ηγούμενος,αηδία
ηγούμενος,φόβος
ηγούμενος,χαρά
ηγούμενος,θλίψη
ηγούμενος,έκπληξη
ηγούμενος,εμπιστοσύνη
βραχύνω,οργή
βραχύνω,ανυπομονησία
βραχύνω,αηδία
βραχύνω,φόβος
βραχύνω,χαρά
βραχύνω,θλίψη
βραχύνω,έκπληξη
βραχύνω,εμπιστοσύνη
συντομογραφία,οργή
συντομογραφία,ανυπομονησία
συντομογραφία,αηδία
συντομογραφία,φόβος
συντομογραφία,χαρά
συντομογραφία,θλίψη
συντομογραφία,έκπληξη
συντομογραφία,εμπιστοσύνη
κοιλιά,οργή
κοιλιά,ανυπομονησία
κοιλιά,αηδία
κοιλιά,φόβος
κοιλιά,χαρά
κοιλιά,θλίψη
κοιλιά,έκπληξη
κοιλιά,εμπιστοσύνη
κοιλιακός,οργή
κοιλιακός,ανυπομονησία
κοιλιακός,αηδία
κοιλιακός,φόβος
κοιλιακός,χαρά
κοιλιακός,θλίψη
κοιλιακός,έκπληξη
κοιλιακός,εμπιστοσύνη
απαγωγή,οργή
απαγωγή,ανυπομονησία
απαγωγή,αηδία
απαγωγή,φόβος
απαγωγή,χαρά
απαγωγή,θλίψη
απαγωγή,έκπληξη
απαγωγή,εμπιστοσύνη
ανώμαλος,οργή
ανώμαλος,ανυπομονησία
ανώμαλος,αηδία
ανώμαλος,φόβος
ανώμαλος,χαρά
ανώμαλος,θλίψη
ανώμαλος,έκπληξη
